   128/299     2.01G   0.04503   0.04606  0.008788   0.09988        46       640    0.9496    0.8031    0.8184    0.5968   0.03409   0.01587  0.005789
   129/299     2.01G   0.04346   0.04493  0.008662   0.09705       109       640    0.9446    0.8046      0.83    0.6153   0.03319    0.0155  0.005849
   130/299     2.01G   0.04241   0.04699  0.008668   0.09807       148       640    0.9791    0.8152    0.8414    0.5906    0.0333   0.01539  0.005951
   131/299     2.01G   0.04129   0.04259  0.008067   0.09195       220       640    0.9341    0.7971    0.8195    0.5697    0.0342   0.01578  0.005923
   132/299     2.01G   0.04538   0.04263  0.009273   0.09728        79       640    0.9376    0.8002    0.8196    0.5927   0.03425   0.01608  0.005804
   133/299     2.01G   0.04466   0.04772  0.008823    0.1012        83       640    0.9186     0.805    0.8196    0.6108   0.03303   0.01555  0.005648
   134/299     2.01G   0.04156   0.04533  0.008716    0.0956       144       640    0.9146    0.8048    0.8196     0.602   0.03353   0.01584  0.005516
   135/299     2.01G   0.04349   0.04726   0.00846   0.09921        80       640    0.9231    0.7965    0.8221    0.5938    0.0339   0.01585  0.005476
   136/299     2.01G   0.04556   0.04612  0.008601    0.1003        30       640    0.8946       0.8    0.8168    0.5851   0.03359   0.01527  0.005353
   137/299     2.01G   0.04249   0.04394  0.008461   0.09489        76       640    0.9343    0.7927    0.8168    0.5792   0.03449   0.01529  0.005241
   138/299     2.01G   0.04253   0.04446  0.008541   0.09553       128       640    0.9615     0.775    0.8011     0.599   0.03616   0.01558  0.005463
   139/299     2.01G   0.04331   0.04381  0.008202   0.09532       107       640    0.9574    0.7804    0.7999    0.5778   0.03603   0.01548  0.005599
   140/299     2.01G   0.04378   0.04555  0.008083   0.09741       128       640     0.951     0.785    0.8185     0.583   0.03537   0.01495  0.005754
   141/299     2.01G   0.04276   0.04405   0.00799    0.0948        44       640    0.9469    0.8442    0.8465    0.6206   0.03338   0.01524  0.005855
   142/299     2.01G   0.04143    0.0433  0.008252   0.09298        70       640    0.9447    0.8459    0.8552    0.6135   0.03389   0.01521  0.005607
   143/299     2.01G   0.04229   0.04538  0.007832    0.0955       157       640    0.9529    0.8079     0.822    0.6279   0.03346   0.01498  0.005448
   144/299     2.01G   0.04125   0.04561  0.008999   0.09586        57       640     0.955     0.808    0.8341    0.6265   0.03308   0.01476  0.005326
   145/299     2.01G   0.04121   0.04587  0.008265   0.09535        99       640    0.9291     0.809    0.8214    0.6002   0.03358   0.01517  0.005165
   146/299     2.01G   0.04039   0.03974  0.008251   0.08839       153       640    0.9171    0.8208    0.8214    0.6129   0.03254   0.01561  0.005355
   147/299     2.01G   0.04039   0.03997  0.008026    0.0884       112       640    0.9286    0.8203     0.822     0.599   0.03386   0.01567  0.005467
   148/299     2.01G   0.04172   0.04347  0.008145   0.09333        60       640    0.9657     0.836    0.8454    0.6043   0.03319   0.01614  0.005922
   149/299     2.01G   0.04373    0.0443  0.007896   0.09592       107       640    0.9588    0.8111    0.8214    0.6093   0.03406   0.01574  0.005719
   150/299     2.01G   0.04083   0.04404  0.007447   0.09231        83       640    0.9504    0.8249    0.8214    0.6051    0.0333   0.01543   0.00529
   151/299     2.01G   0.04191   0.04146  0.007668   0.09104       102       640    0.9459     0.825    0.8214     0.624   0.03279   0.01518  0.005076
   152/299     2.01G   0.04425   0.04334  0.007445   0.09504       165       640    0.9453     0.825    0.8214    0.6274   0.03357   0.01583  0.005184
   153/299     2.01G   0.03978   0.03809  0.007909   0.08578        75       640     0.963    0.8161    0.8214      0.63   0.03207   0.01534   0.00517
   154/299     2.01G    0.0399   0.04046  0.008095   0.08845       117       640    0.9606    0.8107    0.8214    0.6124   0.03195   0.01442  0.005333
   155/299     2.01G   0.03963   0.04238   0.00783   0.08984        66       640    0.8989    0.8153    0.8214    0.6101   0.03221   0.01472  0.005262
   156/299     2.01G   0.04019   0.04107  0.008108   0.08937        26       640    0.9075    0.8246    0.8374    0.6092    0.0323   0.01491  0.005202
   157/299     2.01G   0.03955   0.03677   0.00789   0.08421       150       640    0.9532     0.832    0.8689    0.6177   0.03214   0.01492  0.005139
   158/299     2.01G   0.04219   0.04607  0.007992   0.09624        73       640    0.8944     0.825    0.8398    0.6316   0.03138   0.01461  0.005038
   159/299     2.01G   0.03822   0.04133  0.007742   0.08729        56       640    0.8808     0.825    0.8359    0.6191   0.03206   0.01453  0.004973
   160/299     2.01G   0.04115   0.04073  0.008258   0.09014        99       640    0.9014    0.8249    0.8364    0.6047   0.03332   0.01513   0.00496
   161/299     2.01G   0.04121   0.04132  0.008449   0.09098        46       640    0.8807     0.875    0.8649    0.6283   0.03258   0.01458  0.004909
   162/299     2.01G   0.04085    0.0422  0.006928   0.08998       127       640    0.8527      0.85    0.8393    0.6208     0.033   0.01462  0.005004
   163/299     2.01G   0.04162   0.04316  0.008352   0.09313       114       640    0.9849    0.8161    0.8451    0.6209   0.03253   0.01438  0.004938
   164/299     2.01G    0.0411   0.04255  0.007059   0.09071        55       640    0.9542    0.8433    0.8465     0.627   0.03278   0.01434  0.004986
   165/299     2.01G   0.04102    0.0397  0.007929   0.08865        60       640     0.968    0.8207    0.8446    0.6528    0.0315   0.01379  0.005071
   166/299     2.01G   0.04035   0.04206  0.007496   0.08991        98       640    0.9678    0.8223    0.8447    0.6573   0.03073   0.01347  0.005068
   167/299     2.01G   0.03909    0.0432  0.007897   0.09019       122       640    0.9642    0.8436    0.8467    0.6518   0.03096   0.01333     0.005
   168/299     2.01G   0.03853   0.04272  0.007296   0.08855       116       640    0.9883     0.816    0.8632    0.6521   0.03065   0.01397  0.004958
   169/299     2.01G   0.03807   0.03881  0.007662   0.08455        33       640    0.9714    0.8397    0.8566    0.6485   0.03079   0.01426  0.004946
